[IMPORTS]

DLL: ADVAPI32.dll
 RVA: 00001248, Hint:  550(0226), Name: OpenClipboard
 RVA: 0000124C, Hint:  342(0156), Name: GetMenuState
 RVA: 00001250, Hint:  214(00D6), Name: EnableMenuItem
 RVA: 00001254, Hint:  378(017A), Name: GetSubMenu
 RVA: 00001258, Hint:  276(0114), Name: GetClientRect
 RVA: 0000125C, Hint:  766(02FE), Name: UnhookWinEvent
 RVA: 00001260, Hint:  300(012C), Name: GetFocus
 RVA: 00001264, Hint:  331(014B), Name: GetMenu
 RVA: 00001268, Hint:  533(0215), Name: MessageBoxW
 RVA: 0000126C, Hint:  809(0329), Name: WinHelpW
 RVA: 00001270, Hint:  294(0126), Name: GetDlgCtrlID
 RVA: 00001274, Hint:   67(0043), Name: ChildWindowFromPoint
 RVA: 00001278, Hint:  289(0121), Name: GetDC
 RVA: 0000127C, Hint:  735(02DF), Name: ShowWindow
 RVA: 00001280, Hint:  207(00CF), Name: DrawTextExW
 RVA: 00001284, Hint:  613(0265), Name: ReleaseDC
 RVA: 00001288, Hint:  493(01ED), Name: LoadIconW
 RVA: 0000128C, Hint:  703(02BF), Name: SetWinEventHook
 RVA: 00001290, Hint:  349(015D), Name: GetMessageW
 RVA: 00001294, Hint:  566(0236), Name: PostMessageW
 RVA: 00001298, Hint:  461(01CD), Name: IsDialogMessageW
 RVA: 0000129C, Hint:  762(02FA), Name: TranslateAcceleratorW
 RVA: 000012A0, Hint:  218(00DA), Name: EndDialog
 RVA: 000012A4, Hint:  298(012A), Name: GetDlgItemTextW
 RVA: 000012A8, Hint:  656(0290), Name: SetDlgItemTextW
 RVA: 000012AC, Hint:  658(0292), Name: SetFocus
 RVA: 000012B0, Hint:  715(02CB), Name: SetWindowTextW
 RVA: 000012B4, Hint:  356(0164), Name: GetParent
 RVA: 000012B8, Hint:  506(01FA), Name: LoadStringW
 RVA: 000012BC, Hint:  627(0273), Name: SendDlgItemMessageW
 RVA: 000012C0, Hint:  288(0120), Name: GetCursorPos
 RVA: 000012C4, Hint:  621(026D), Name: ScreenToClient
 RVA: 000012C8, Hint:  764(02FC), Name: TranslateMessage
 RVA: 000012CC, Hint:  260(0104), Name: GetAncestor
 RVA: 000012D0, Hint:  175(00AF), Name: DispatchMessageW

DLL: msvcrt.dll
 RVA: 000012D8, Hint:  295(0127), Name: _controlfp
 RVA: 000012DC, Hint:  974(03CE), Name: _vsnwprintf
 RVA: 000012E0, Hint: 1262(04EE), Name: memset
 RVA: 000012E4, Hint: 1133(046D), Name: _wtol
 RVA: 000012E8, Hint: 1258(04EA), Name: memcpy
 RVA: 000012EC, Hint: 1228(04CC), Name: iswctype
 RVA: 000012F0, Hint: 1371(055B), Name: wcsncmp
 RVA: 000012F4, Hint: 1376(0560), Name: wcsrchr
 RVA: 000012F8, Hint:  345(0159), Name: _except_handler4_common
 RVA: 000012FC, Hint:  190(00BE), Name: __p__fmode
 RVA: 00001300, Hint:  185(00B9), Name: __p__commode
 RVA: 00001304, Hint:  212(00D4), Name: __setusermatherr
 RVA: 00001308, Hint:  257(0101), Name: _amsg_exit
 RVA: 0000130C, Hint:  469(01D5), Name: _initterm
 RVA: 00001310, Hint:  231(00E7), Name: _acmdln
 RVA: 00001314, Hint: 1167(048F), Name: exit
 RVA: 00001318, Hint:  500(01F4), Name: _ismbblead
 RVA: 0000131C, Hint:  106(006A), Name: _XcptFilter
 RVA: 00001320, Hint:  145(0091), Name: __getmainargs
 RVA: 00001324, Hint:  276(0114), Name: _cexit
